X0(35) | 3 | '3.1.103528.1' | [ 289194451991679473003464019459/15925248, 450929522181921440767466564069/63700992, 53243965988863702844442809581/63700992 ] | '3.1.103528.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.23.1' | [ -47030102734, 62301621923, -35501967762 ] | '3.1.23.1' | \N | \N |[]
X0(35) | 3 | '3.1.2167.1' | [ 92350453445/3, -13053685109/3, -9909856529/3 ] | '3.1.2167.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.8488.1' | [ 254941316527242494867/400252360791997656, -18921056238038012191/800504721583995312, 14661070210581524879/800504721583995312 ] | '3.1.8488.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.103528.1' | [ -11539750548370367688206257339/3541774862152233910272, -159932510556491531205195053/1770887431076116955136, 401577544461619567382630027/7083549724304467820544 ] | '3.1.103528.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.1603.1' | [ -8956594512413997251233/1601009443167990624, 106223596841878799927/100063090197999414, 327698529295859511277/1601009443167990624 ] | '3.1.1603.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.2167.1' | [ 10467602/2187, -25658321/2187, -7516844/2187 ] | '3.1.2167.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.23.1' | [ 1136, -692, -697 ] | '3.1.23.1' | \N | \N |[]
X0(35) | 3 | '3.1.932.1' | [ 49787479029455703229344351809/128, 1631428035177656084129248039/32, 9012474082596502734980736149/128 ] | '3.1.932.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.1603.1' | [ -116096637708113953/4374, -36453023873342024/2187, -23000199716090003/4374 ] | '3.1.1603.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.1603.1' | [ -56064509282412193/8349416423424, -2984446396548553/521838526464, -12894861268931603/8349416423424 ] | '3.1.1603.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.932.1' | [ 159637701041/32, 653872712, 28897438001/32 ] | '3.1.932.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.2167.1' | [ -1280208138864341820606951274486/243, 1006470936009684886910845330939/243, -210488390029677131662176323576/243 ] | '3.1.2167.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.23.1' | [ -1040891944, -778471532, 795382823 ] | '3.1.23.1' | \N | \N |[]
X0(35) | 3 | '3.1.1603.1' | [ 7233973727/384, -26246473/24, -587480723/384 ] | '3.1.1603.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.103528.1' | [ 74688042012973623479/200126180395998828, 59213997691022702107/400252360791997656, 3466332635732394619/200126180395998828 ] | '3.1.103528.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.8488.1' | [ 5262193922704004016321623/7083549724304467820544, -250075157775624444416041/3541774862152233910272, -531732304498580911435667/7083549724304467820544 ] | '3.1.8488.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.23.1' | [ -317259, 427873, -243497 ] | '3.1.23.1' | \N | \N |[]
X0(35) | 3 | '3.1.2167.1' | [ -92860913355301856566/50031545098999707, 71703921374310303418/50031545098999707, -13548852167060290625/50031545098999707 ] | '3.1.2167.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.103528.1' | [ 53900581719677069/2239488, 10505633751897163/1119744, 4961854005702083/4478976 ] | '3.1.103528.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.212.1' | [ -2175749893420249905931997/64, 270771310138860157544903/64, -1160059441775092785829659/128 ] | '3.1.212.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.8488.1' | [ -4256726166899/35831808, -9084166355299/573308928, -5049468509419/573308928 ] | '3.1.8488.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.932.1' | [ 541730141/2, -1802021731/2, 727737388 ] | '3.1.932.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.212.1' | [ -534396894722957/17179869184, 66358978247183/17179869184, -285203825754779/34359738368 ] | '3.1.212.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.212.1' | [ 11029036939/131072, -67425706867/262144, 47922307583/262144 ] | '3.1.212.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.76.1' | [ 11841983/8192, 5739005/4096, -10268493/8192 ] | '3.1.76.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.379.1' | [ -87949617934825967157/67108864, 126751410143175203109/67108864, -43916918754307497561/67108864 ] | '3.1.379.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.331.1' | [ 49693/4, 27305/4, 11659/4 ] | '3.1.331.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.379.1' | [ -3189270693605221785666882933/302231454903657293676544, 1456836705823435189841278053/302231454903657293676544, 91584176721474730638537063/302231454903657293676544 ] | '3.1.379.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.499.1' | [ -16736349448663/221184, -842941563535/73728, -3756922102651/221184 ] | '3.1.499.1' | 'No' | 0 |[]
X0(39) | 3 | '3.1.76.1' | [ -10459836089/2, -8185855457, -9253252641/2 ] | '3.1.76.1' | 'No' | 0 |[]
