id|label|level|generators
bigint|text|integer|integer[]

55982|102.18.1.1|102|{{65,37,34,43},{83,80,32,81},{35,84,4,85}}
55983|102.18.1.2|102|{{86,61,95,68},{43,28,64,5},{96,31,17,66}}
55955|102.2.0.1|102|{{44,51,9,55},{69,4,7,97}}
5946|16.96.0.18|16|{{7,0,12,11},{3,10,4,5},{5,4,4,5},{11,10,8,1},{9,4,4,13}}
56066|102.216.13.1|102|{{25,2,68,9},{87,98,68,29},{53,71,34,33}}
56075|102.216.13.10|102|{{25,22,68,39},{23,16,0,31}}
56076|102.216.13.11|102|{{95,56,68,63},{35,65,0,7}}
56082|102.216.13.17|102|{{47,20,85,95},{64,65,17,2},{64,77,85,70},{59,24,51,13}}
56083|102.216.13.18|102|{{1,13,34,89},{86,37,85,31},{83,21,51,82},{67,65,34,25}}
57414|117.168.2.30|117|{{100,65,91,19},{51,19,65,37}}
56084|102.216.13.19|102|{{35,40,34,7},{94,45,51,7},{9,92,68,81},{53,97,34,97}}
56067|102.216.13.2|102|{{9,47,68,61},{81,58,34,7},{67,89,0,59}}
56085|102.216.13.20|102|{{4,1,17,13},{2,61,17,14},{50,49,85,64},{81,29,68,63}}
56127|102.216.17.17|102|{{27,26,68,43},{29,22,85,43},{82,57,17,50},{38,19,85,100}}
56086|102.216.13.21|102|{{21,58,85,47},{87,95,68,67},{93,59,34,21},{4,85,85,56}}
56087|102.216.13.22|102|{{33,59,34,39},{53,10,51,1},{9,13,68,9},{38,55,85,7}}
56088|102.216.13.23|102|{{98,77,17,97},{43,2,0,89},{47,82,51,97},{2,75,51,59}}
56089|102.216.13.24|102|{{1,93,0,73},{26,9,85,37},{47,65,68,99},{59,83,68,57}}
56096|102.216.13.31|102|{{63,25,17,30},{47,95,68,87},{23,19,0,13},{23,59,17,66}}
56090|102.216.13.25|102|{{45,34,34,21},{35,59,68,55},{95,63,0,77},{100,41,17,53}}
56091|102.216.13.26|102|{{5,33,51,2},{58,71,51,98},{27,52,34,89},{55,26,17,59}}
56092|102.216.13.27|102|{{55,39,0,25},{95,32,17,19},{35,23,17,94},{80,51,51,67}}
56093|102.216.13.28|102|{{29,71,68,1},{67,18,17,47},{30,55,85,89},{3,44,17,25}}
56094|102.216.13.29|102|{{54,53,85,93},{95,39,51,70},{32,53,17,64},{5,8,17,67}}
56099|102.216.13.34|102|{{97,49,34,35},{30,73,17,42},{92,95,17,39}}
56100|102.216.13.35|102|{{9,59,34,21},{9,46,85,5},{63,82,34,11}}
56101|102.216.13.36|102|{{91,60,51,49},{31,93,51,74},{16,53,17,26}}
56102|102.216.13.37|102|{{77,15,51,80},{29,51,51,100},{13,100,85,59}}
56103|102.216.13.38|102|{{59,79,85,88},{101,38,17,37},{95,37,0,67}}
56104|102.216.13.39|102|{{16,77,17,41},{55,12,51,7},{5,58,17,35}}
56069|102.216.13.4|102|{{47,12,0,31},{52,79,17,12},{42,83,17,8}}
56105|102.216.13.40|102|{{11,14,17,3},{12,85,85,101},{30,73,17,60}}
56070|102.216.13.5|102|{{3,82,34,83},{59,29,68,21},{65,83,0,13}}
56071|102.216.13.6|102|{{24,77,85,18},{76,93,85,70},{71,60,0,13}}
57382|117.84.2.22|117|{{81,49,104,106},{5,86,26,24}}
56120|102.216.17.10|102|{{13,17,85,52},{59,65,68,43},{37,0,51,77},{82,27,51,76}}
56107|102.216.15.2|102|{{93,35,68,9},{91,90,0,95},{26,87,51,37},{56,39,51,11}}
56108|102.216.15.3|102|{{95,0,0,47},{63,53,34,21},{12,79,85,72},{54,41,17,99}}
56110|102.216.15.5|102|{{15,83,68,75},{57,91,34,9},{37,39,0,25},{97,36,51,41}}
57395|117.168.2.11|117|{{4,40,26,112},{22,1,0,74}}
56111|102.216.17.1|102|{{84,73,17,75},{54,61,85,69},{1,6,0,97},{40,39,51,37}}
56121|102.216.17.11|102|{{23,9,51,70},{77,22,34,55},{76,63,51,83},{95,38,68,43}}
56122|102.216.17.12|102|{{86,17,17,13},{74,59,17,16},{23,16,51,67},{63,37,68,93}}
56112|102.216.17.2|102|{{13,44,68,35},{100,27,51,97},{62,27,51,5},{32,1,51,76}}
56130|102.216.17.20|102|{{71,91,34,25},{32,69,51,100},{50,61,85,13},{86,43,17,50}}
56131|102.216.17.21|102|{{13,5,17,86},{13,40,68,73},{5,18,0,101}}
56132|102.216.17.22|102|{{97,60,0,13},{84,85,17,9},{71,76,51,79}}
56133|102.216.17.23|102|{{42,23,17,79},{33,31,17,72},{28,11,17,38}}
56134|102.216.17.24|102|{{62,55,17,29},{99,2,68,57},{14,91,85,76}}
56136|102.216.17.26|102|{{74,43,17,62},{5,65,85,8},{28,33,51,59}}
56137|102.216.17.27|102|{{97,68,51,11},{101,101,17,76},{41,2,17,81}}
56138|102.216.17.28|102|{{28,33,17,8},{55,15,0,31},{73,76,85,15}}
56139|102.216.17.29|102|{{49,80,51,5},{61,75,68,59},{32,1,51,1},{53,28,85,37}}
56113|102.216.17.3|102|{{1,25,34,21},{82,15,51,25},{74,1,85,97}}
56168|102.216.17.58|102|{{48,29,17,91},{26,49,85,79},{16,87,17,56}}
56140|102.216.17.30|102|{{27,7,34,57},{62,3,51,10},{12,25,17,3},{99,101,17,72}}
56141|102.216.17.31|102|{{74,45,85,28},{28,63,51,64},{71,4,51,31},{41,6,85,55}}
56142|102.216.17.32|102|{{91,42,0,83},{62,93,51,62},{5,51,0,79},{99,35,17,72}}
56143|102.216.17.33|102|{{63,53,34,39},{95,78,51,23},{66,13,85,54},{77,51,51,44}}
56144|102.216.17.34|102|{{100,27,51,22},{35,61,0,43},{41,15,85,10},{35,39,34,19}}
56158|102.216.17.48|102|{{27,47,17,90},{23,19,34,13},{94,7,85,29}}
56145|102.216.17.35|102|{{71,1,85,40},{52,91,85,75},{49,100,85,9}}
56146|102.216.17.36|102|{{40,23,17,98},{45,7,85,20},{8,43,85,46}}
56147|102.216.17.37|102|{{48,29,17,61},{48,67,85,101},{93,32,17,67}}
56148|102.216.17.38|102|{{95,84,51,95},{39,52,85,89},{6,13,85,23}}
56149|102.216.17.39|102|{{48,41,17,100},{42,59,17,7},{57,40,85,71}}
56114|102.216.17.4|102|{{61,38,68,23},{29,64,34,1},{73,91,85,96}}
56150|102.216.17.40|102|{{11,94,34,25},{64,97,85,78},{79,69,0,37}}
56155|102.216.17.45|102|{{65,95,17,60},{9,34,17,27},{97,30,51,79}}
56151|102.216.17.41|102|{{77,50,85,95},{20,1,85,76},{40,93,51,91}}
56152|102.216.17.42|102|{{41,20,68,69},{80,63,51,71},{35,78,85,1}}
56153|102.216.17.43|102|{{20,87,51,97},{32,51,51,25},{71,56,34,77}}
56154|102.216.17.44|102|{{23,82,51,97},{91,37,85,38},{36,79,17,3}}
56156|102.216.17.46|102|{{58,11,17,14},{39,62,17,67},{76,45,17,89}}
56157|102.216.17.47|102|{{73,24,51,79},{47,70,68,71},{86,89,17,58}}
56159|102.216.17.49|102|{{91,8,17,59},{12,29,85,45},{48,49,85,93}}
56115|102.216.17.5|102|{{9,77,85,48},{70,49,85,2},{15,31,68,93},{13,35,68,99}}
56160|102.216.17.50|102|{{41,56,68,3},{60,65,85,96},{7,35,17,74}}
56161|102.216.17.51|102|{{54,43,85,81},{87,23,17,6},{31,44,68,89}}
56162|102.216.17.52|102|{{48,11,85,33},{93,67,34,89},{87,61,17,96}}
56163|102.216.17.53|102|{{87,20,17,49},{59,8,17,31},{71,93,34,13}}
56164|102.216.17.54|102|{{83,85,85,46},{23,59,68,13},{59,5,34,83}}
56165|102.216.17.55|102|{{74,51,51,14},{29,43,85,70},{40,53,85,46}}
56166|102.216.17.56|102|{{29,15,0,41},{9,50,68,55},{13,47,51,74}}
56167|102.216.17.57|102|{{62,35,17,72},{25,41,51,74},{44,11,17,94}}
56169|102.216.17.59|102|{{89,72,0,5},{11,38,68,33},{83,99,85,94}}
56116|102.216.17.6|102|{{77,1,34,19},{49,79,34,71},{93,28,17,39},{25,91,0,71}}
56170|102.216.17.60|102|{{71,29,17,96},{1,92,17,23},{100,11,51,77}}
56171|102.216.17.61|102|{{35,88,34,73},{94,33,17,2},{23,83,17,76}}
56172|102.216.17.62|102|{{25,36,17,53},{97,4,34,9},{27,1,34,95}}
56173|102.216.17.63|102|{{14,41,17,78},{83,45,85,70},{57,40,34,47}}
56174|102.216.17.64|102|{{86,31,51,94},{91,4,34,89},{35,43,51,10}}
56175|102.216.17.65|102|{{44,49,17,56},{59,47,34,29},{35,83,68,7}}
56176|102.216.17.66|102|{{91,51,68,77},{87,28,17,45},{39,19,68,57}}
56023|102.72.5.1|102|{{13,92,34,27},{77,43,34,49},{26,91,17,89}}
56177|102.216.17.67|102|{{79,18,51,67},{49,81,17,86},{44,59,17,31}}
56183|102.216.17.73|102|{{87,44,68,75},{67,52,85,29},{79,47,68,95}}
56178|102.216.17.68|102|{{46,49,17,7},{25,101,85,82},{62,29,17,91}}
56179|102.216.17.69|102|{{71,49,68,95},{81,88,85,9},{98,49,85,28}}
56117|102.216.17.7|102|{{33,98,68,87},{35,13,85,40},{94,49,17,31},{52,61,85,35}}
56180|102.216.17.70|102|{{97,58,34,29},{5,17,68,75},{19,94,85,57}}
56181|102.216.17.71|102|{{37,54,17,59},{79,67,34,23},{23,45,0,83}}
56182|102.216.17.72|102|{{6,95,17,9},{89,70,34,97},{101,34,17,11}}
56184|102.216.17.74|102|{{5,16,51,73},{86,73,51,28},{7,79,85,72}}
56185|102.216.17.75|102|{{15,38,85,3},{14,47,17,87},{79,98,17,101}}
56191|102.216.17.81|102|{{101,56,85,47},{93,61,17,12},{7,55,34,77}}
56186|102.216.17.76|102|{{52,21,17,80},{91,23,17,26},{63,4,68,99}}
56187|102.216.17.77|102|{{41,10,34,91},{8,69,51,88},{55,29,85,100}}
56188|102.216.17.78|102|{{67,46,34,95},{3,53,17,6},{49,67,17,4}}
56189|102.216.17.79|102|{{44,31,17,101},{100,1,85,5},{87,86,17,39}}
56118|102.216.17.8|102|{{55,10,68,43},{2,33,51,67},{87,97,68,99},{77,99,0,73}}
56190|102.216.17.80|102|{{54,55,85,50},{43,10,34,95},{95,56,17,91}}
56192|102.216.17.82|102|{{31,1,34,53},{79,53,0,95},{38,65,17,81}}
56193|102.216.17.83|102|{{23,64,51,19},{74,11,17,97},{101,53,68,15}}
56194|102.216.17.84|102|{{37,33,51,38},{70,55,17,91},{19,49,68,25}}
56195|102.216.17.85|102|{{47,73,17,2},{97,35,17,62},{76,27,51,37}}
56196|102.216.17.86|102|{{99,94,68,27},{44,79,51,70},{43,24,51,7}}
56197|102.216.17.87|102|{{59,76,85,73},{18,47,17,79},{29,75,85,10}}
56198|102.216.17.88|102|{{71,22,34,49},{41,4,85,79},{83,1,17,8}}
